ECLI,jaartal_delict,jaartal_uitspraak,regionale_eenheid,veroordeling,tenlastelegging,modus_operandi,geslacht_dader,geslacht_slachtoffer,strafmaat,moord_of_doodslag,verweer_verdediging,bewijstypen,aanleiding,gedraging,gevolg
ECLI:NL:HR:2015:4606,2015,2014,Noord-Nederland,Moord,Poging tot moord,Wurging,Vrouw,Vrouw,15,Moord,Geen verweer,Getuigenverklaring,Financieel,Vergiftiging,Dood direct
ECLI:NL:PHR:2018:2386,2011,2022,Amsterdam,Vrijspraak,Doodslag,Wurging,Man,Vrouw,10,Doodslag,Ontkenning,Bekentenis,Financieel,Verstikking,Dood direct
ECLI:NL:HR:2023:1524,2018,2013,Noord-Nederland,Doodslag,Doodslag,Wurging,Man,Man,20,Doodslag,Geen verweer,Getuigenverklaring,Psychose,Steekpartij,Zwaar gewond
ECLI:NL:RBDHA:2015:588,2017,2014,Midden-Nederland,Doodslag,Moord,Anders,Man,Man,20,Doodslag,Ontkenning,Bekentenis,Relatieproblemen,Schietpartij,Zwaar gewond
ECLI:NL:HR:2018:3911,2010,2022,Rotterdam,Vrijspraak,Doodslag,Mes,Man,Vrouw,10,Moord,Geen verweer,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:HR:2023:3357,2015,2011,Amsterdam,Doodslag,Poging tot moord,Wurging,Man,Man,10,Doodslag,Noodweer,Getuigenverklaring,Relatieproblemen,Vergiftiging,Dood later
ECLI:NL:RBDHA:2018:7459,2013,2020,Midden-Nederland,Doodslag,Poging tot moord,Wurging,Vrouw,Vrouw,12,Doodslag,Ontkenning,Observatie,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:GHARL:2015:2715,2014,2019,Rotterdam,Moord,Moord,Wurging,Man,Man,15,Moord,Ontkenning,Getuigenverklaring,Psychose,Vergiftiging,Dood later
ECLI:NL:RBDHA:2020:4652,2019,2013,Amsterdam,Moord,Poging tot moord,Vuurwapen,Man,Man,15,Doodslag,Ontkenning,Observatie,Ruzie,Verstikking,Dood direct
ECLI:NL:PHR:2018:5614,2022,2012,Midden-Nederland,Moord,Doodslag,Mes,Man,Vrouw,12,Doodslag,Geen verweer,Getuigenverklaring,Financieel,Schietpartij,Dood direct
ECLI:NL:HR:2016:6324,2014,2016,Rotterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,10,Doodslag,Noodweer,Getuigenverklaring,Relatieproblemen,Schietpartij,Zwaar gewond
ECLI:NL:HR:2020:5735,2021,2022,Rotterdam,Moord,Poging tot moord,Wurging,Man,Vrouw,10,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Vergiftiging,Zwaar gewond
ECLI:NL:GHARL:2015:7627,2019,2021,Rotterdam,Doodslag,Moord,Vuurwapen,Man,Man,10,Moord,Ontkenning,Forensisch bewijs,Financieel,Steekpartij,Geen letsel
ECLI:NL:HR:2021:1391,2013,2023,Rotterdam,Vrijspraak,Poging tot moord,Vuurwapen,Vrouw,Vrouw,15,Doodslag,Noodweer,Bekentenis,Relatieproblemen,Slag met voorwerp,Zwaar gewond
ECLI:NL:GHARL:2020:9559,2017,2011,Oost-Nederland,Doodslag,Poging tot moord,Wurging,Man,Vrouw,20,Doodslag,Noodweer,Forensisch bewijs,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2016:850,2015,2017,Oost-Nederland,Moord,Doodslag,Anders,Man,Man,10,Moord,Ontkenning,Getuigenverklaring,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:PHR:2019:1407,2019,2021,Oost-Nederland,Vrijspraak,Poging tot moord,Mes,Man,Vrouw,8,Doodslag,Noodweer,Observatie,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2016:6327,2017,2015,Rotterdam,Moord,Moord,Mes,Man,Man,20,Moord,Noodweer,Bekentenis,Ruzie,Schietpartij,Geen letsel
ECLI:NL:GHARL:2022:6077,2022,2023,Oost-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,8,Moord,Ontkenning,Getuigenverklaring,Ruzie,Schietpartij,Dood later
ECLI:NL:PHR:2020:5920,2022,2019,Oost-Nederland,Doodslag,Moord,Anders,Man,Vrouw,8,Doodslag,Geen verweer,Forensisch bewijs,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:PHR:2019:1269,2013,2020,Amsterdam,Doodslag,Moord,Wurging,Man,Man,10,Moord,Noodweer,Bekentenis,Financieel,Vergiftiging,Zwaar gewond
ECLI:NL:PHR:2023:4110,2021,2011,Noord-Nederland,Moord,Doodslag,Vuurwapen,Man,Vrouw,8,Doodslag,Geen verweer,Observatie,Ruzie,Slag met voorwerp,Dood later
ECLI:NL:PHR:2022:6316,2018,2020,Oost-Nederland,Doodslag,Poging tot moord,Mes,Man,Man,10,Moord,Geen verweer,Getuigenverklaring,Psychose,Steekpartij,Dood direct
ECLI:NL:GHARL:2023:3698,2022,2011,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Man,8,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Verstikking,Dood direct
ECLI:NL:GHARL:2015:3852,2022,2021,Midden-Nederland,Doodslag,Moord,Wurging,Man,Vrouw,12,Doodslag,Ontkenning,Getuigenverklaring,Financieel,Schietpartij,Zwaar gewond
ECLI:NL:HR:2020:6672,2013,2012,Noord-Nederland,Doodslag,Poging tot moord,Wurging,Man,Man,15,Doodslag,Ontkenning,Getuigenverklaring,Financieel,Vergiftiging,Dood direct
ECLI:NL:GHARL:2016:3556,2012,2021,Rotterdam,Doodslag,Poging tot moord,Wurging,Man,Man,20,Moord,Noodweer,Getuigenverklaring,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:GHARL:2018:8279,2010,2024,Rotterdam,Vrijspraak,Moord,Vergif,Vrouw,Vrouw,20,Doodslag,Noodweer,Getuigenverklaring,Ruzie,Vergiftiging,Zwaar gewond
ECLI:NL:RBDHA:2022:2440,2016,2011,Oost-Nederland,Moord,Doodslag,Wurging,Man,Man,8,Moord,Geen verweer,Bekentenis,Ruzie,Schietpartij,Zwaar gewond
ECLI:NL:GHARL:2017:4140,2010,2011,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Vrouw,12,Doodslag,Geen verweer,Observatie,Ruzie,Slag met voorwerp,Zwaar gewond
ECLI:NL:GHARL:2021:9660,2013,2022,Midden-Nederland,Doodslag,Doodslag,Mes,Man,Vrouw,10,Moord,Geen verweer,Bekentenis,Relatieproblemen,Slag met voorwerp,Dood direct
ECLI:NL:RBDHA:2020:3693,2018,2012,Oost-Nederland,Moord,Doodslag,Vuurwapen,Man,Man,20,Moord,Geen verweer,Bekentenis,Relatieproblemen,Steekpartij,Dood direct
ECLI:NL:PHR:2023:8185,2015,2017,Oost-Nederland,Vrijspraak,Poging tot moord,Mes,Vrouw,Man,15,Doodslag,Noodweer,Getuigenverklaring,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:HR:2015:1896,2020,2018,Rotterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,10,Moord,Geen verweer,Getuigenverklaring,Relatieproblemen,Schietpartij,Zwaar gewond
ECLI:NL:PHR:2017:7016,2021,2017,Oost-Nederland,Vrijspraak,Moord,Wurging,Man,Vrouw,10,Doodslag,Noodweer,Forensisch bewijs,Psychose,Verstikking,Zwaar gewond
